BIN,BOROUGH,ZIP,HOUSE_NUM,STREET_NAME,BLOCK,LOT,CONFIRMATION_NUM,REPORTING_YEAR,TANK_NUM,INSPECTION_BY_FIRM,INSPECTION_PERFORMED,INSPECTION_DATE,GI_REQ_INTERNAL_STRUCTURE,GI_RESULT_INTERNAL_STRUCTURE,GI_REQ_EXTERNAL_STRUCTURE,GI_RESULT_EXTERNAL_STRUCTURE,GI_REQ_OVERFLOW_PIPES,GI_RESULT_OVERFLOW_PIPES,GI_REQ_ACCESS_LADDERS,GI_RESULT_ACCESS_LADDERS,GI_REQ_AIR_VENTS,GI_RESULT_AIR_VENTS,GI_REQ_ROOF_ACCESS,GI_RESULT_ROOF_ACCESS,SI_REQ_SEDIMENT,SI_RESULT_SEDIMENT,SI_REQ_BIOLOGICAL_GROWTH,SI_RESULT_BIOLOGICAL_GROWTH,SI_REQ_DEBRIS_INSECTS,SI_RESULT_DEBRIS_INSECTS,SI_REQ_RODENT_BIRD,SI_RESULT_RODENT_BIRD,SAMPLE_COLLECTED,LAB_NAME,NYS_CERTIFIED,ANALYTES,COLIFORM,ECOLI,MEET_STANDARDS,DELETED,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT,BBL,NTA,BATCH_DATE
4052344,QUEENS,11375,108-37,71st Avenue,2223,38,WTI8708806505,2021,1,"ISSEKS BROS., INC.",Y,4/28/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,ENVIRONMENTAL BUILDING SOLUTIONS LLC,Y,B,A,A,,No,40.721785,-73.843353,6,29,739,4022230038,Forest Hills,12/20/2024 12:15
1047559,MANHATTAN,10028,131,East 81st Street,1510,15,WTI8945850132,2023,1,Rosenwach Tank Co. LLC,Y,10/6/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.776469,-73.95837,8,4,140,1015100015,Upper East Side-Carnegie Hill,12/20/2024 12:15
1023461,MANHATTAN,10019,130,West 57th Street,1009,46,WTI4345812077,2023,1,Rosenwach Tank Co. LLC,Y,6/13/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.76482,-73.978409,5,4,137,1010090046,Midtown-Midtown South,12/20/2024 12:15
1020611,MANHATTAN,10016,344,East 28 Street,933,25,WTI2330049045,2022,1,American Pipe and Tank,Y,8/15/2022,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,ebs,Y,B,A,A,,No,40.740296,-73.976952,6,2,66,1009330025,Murray Hill-Kips Bay,12/20/2024 12:15
3001717,BROOKLYN,11201,21,Clark Street,230,1,WTI8898213867,2023,2,Nalco,Y,9/14/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.698094,-73.995326,2,33,301,3002300001,Brooklyn Heights-Cobble Hill,12/20/2024 12:15
1014351,MANHATTAN,10001,408,Eighth Avenue,780,7501,WTI0519151185,2022,1,Rosenwach Tank Co. LLC,Y,5/18/2022,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.749924,-73.995102,5,3,101,1007807501,Midtown-Midtown South,12/20/2024 12:15
1043230,MANHATTAN,10075,885,PARK AVENUE,1413,1,WTI4395812412,2020,2,Rosenwach Tank Co. LLC,Y,6/30/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL Analytical,Y,B,A,A,Y,No,40.775114,-73.960884,8,4,140,1014130001,Upper East Side-Carnegie Hill,12/20/2024 12:15
2051264,BRONX,10467,2440,OLINVILLE AVENUE,4426,17,WTI0039022840,2020,1,Rosenwach Tank Co. LLC,Y,11/23/2020,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL Analytical,Y,B,A,A,Y,No,40.862179,-73.868459,11,15,33202,2044260017,Bronxdale,12/20/2024 12:15
2084162,BRONX,10463,3530,Henry Hudson Parkway,5795,518,WTI8769475458,2021,1,Rosenwach Tank Co. LLC,Y,4/29/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,EMSL,Y,B,A,A,,No,40.886429,-73.912248,8,11,297,2057950518,Spuyten Duyvil-Kingsbridge,12/20/2024 12:15
1001258,MANHATTAN,10038,25,Ann Street,90,7502,WTI3423045322,2021,1,"ISSEKS BROS., INC.",Y,8/30/2021,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,"ENVIRONMENTAL BUILDING SOLUTIONS, LLC",Y,B,A,A,,No,40.710726,-74.007607,1,1,1501,1000907502,Battery Park City-Lower Manhattan,12/20/2024 12:15
2129112,BRONX,10451,500,Exterior  Street,2351,21,WTI1045125652,2023,1,American Pipe and Tank,Y,12/6/2023,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,ebs,Y,B,A,A,,No,40.818595,-73.930409,1,8,63,2023510021,West Concourse,12/20/2024 12:15
